time,counts,events
1699054291.7482657,711380,branch-misses
1699054291.8563468,26800236,branches
1699054291.8563468,251926691,instructions
1699054291.8563468,536621,branch-misses
1699054291.9643521,26806171,branches
1699054291.9643521,252014309,instructions
1699054291.9643521,535378,branch-misses
1699054292.0723395,26839784,branches
1699054292.0723395,252242928,instructions
1699054292.0723395,540251,branch-misses
1699054292.1803257,30023152,branches
1699054292.1803257,268093953,instructions
1699054292.1803257,2753721,branch-misses
1699054292.2882514,30277658,branches
1699054292.2882514,275540431,instructions
1699054292.2882514,2650289,branch-misses
1699054292.3962154,22449493,branches
1699054292.3962154,243425326,instructions
1699054292.3962154,940213,branch-misses
1699054292.5042531,23586335,branches
1699054292.5042531,260617781,instructions
1699054292.5042531,645394,branch-misses
1699054292.612488,28015937,branches
1699054292.612488,280237103,instructions
1699054292.612488,752313,branch-misses
1699054292.7201588,31034787,branches
1699054292.7201588,296766709,instructions
1699054292.7201588,854766,branch-misses
1699054292.8280575,30184703,branches
1699054292.8280575,292272430,instructions
1699054292.8280575,1070772,branch-misses
1699054292.936199,29049085,branches
1699054292.936199,282821548,instructions
1699054292.936199,1289651,branch-misses
1699054293.0482547,29093348,branches
1699054293.0482547,277227485,instructions
1699054293.0482547,1136509,branch-misses
1699054293.156254,27354874,branches
1699054293.156254,258975687,instructions
1699054293.156254,610087,branch-misses
1699054293.264362,26818922,branches
1699054293.264362,252157961,instructions
1699054293.264362,536018,branch-misses
1699054293.3723516,26868080,branches
1699054293.3723516,252542745,instructions
1699054293.3723516,539179,branch-misses
1699054293.4803507,26574532,branches
1699054293.4803507,249518723,instructions
1699054293.4803507,693040,branch-misses
1699054293.5882423,31414981,branches
1699054293.5882423,278921727,instructions
1699054293.5882423,2634826,branch-misses
1699054293.6962402,27989246,branches
1699054293.6962402,256946511,instructions
1699054293.6962402,2933359,branch-misses
1699054293.804213,23569626,branches
1699054293.804213,261820265,instructions
1699054293.804213,704951,branch-misses
1699054293.9122484,23629221,branches
1699054293.9122484,256229946,instructions
1699054293.9122484,570449,branch-misses
1699054294.0203085,29247754,branches
1699054294.0203085,289381083,instructions
1699054294.0203085,804629,branch-misses
1699054294.1281266,31005969,branches
1699054294.1281266,297060857,instructions
1699054294.1281266,848225,branch-misses
1699054294.2360518,29865282,branches
