time,counts,events
1699054922.0482616,334314,branch-misses
1699054922.1521962,14851736,branches
1699054922.1521962,142068082,instructions
1699054922.1521962,440669,branch-misses
1699054922.2562435,14885391,branches
1699054922.2562435,142302661,instructions
1699054922.2562435,417413,branch-misses
1699054922.3602118,14658874,branches
1699054922.3602118,143356263,instructions
1699054922.3602118,519288,branch-misses
1699054922.4640787,13261542,branches
1699054922.4640787,128254163,instructions
1699054922.4640787,777049,branch-misses
1699054922.5681374,14596296,branches
1699054922.5681374,139181055,instructions
1699054922.5681374,384962,branch-misses
1699054922.6722703,14754237,branches
1699054922.6722703,138826217,instructions
1699054922.6722703,294023,branch-misses
1699054922.776272,14426376,branches
1699054922.776272,135491764,instructions
1699054922.776272,293001,branch-misses
1699054922.8802776,14755475,branches
1699054922.8802776,138713770,instructions
1699054922.8802776,296265,branch-misses
1699054922.9842782,14525136,branches
1699054922.9842782,135539784,instructions
1699054922.9842782,292121,branch-misses
1699054923.085842,248618,branches
1699054923.085842,1873201,instructions
1699054923.085842,11481,branch-misses
1699054923.1862328,250720,branches
1699054923.1862328,1888949,instructions
1699054923.1862328,10770,branch-misses
1699054923.2866492,248026,branches
1699054923.2866492,1867931,instructions
1699054923.2866492,10735,branch-misses
1699054923.3870077,13426941,branches
1699054923.3870077,113013722,instructions
1699054923.3870077,2431100,branch-misses
1699054923.4880826,14185436,branches
1699054923.4880826,136429334,instructions
1699054923.4880826,584120,branch-misses
1699054923.5921066,7580526,branches
1699054923.5921066,102115712,instructions
1699054923.5921066,91365,branch-misses
1699054923.6962922,13295646,branches
1699054923.6962922,136514175,instructions
1699054923.6962922,322349,branch-misses
1699054923.8002644,14837764,branches
1699054923.8002644,142025904,instructions
1699054923.8002644,424769,branch-misses
1699054923.9042184,14948426,branches
1699054923.9042184,142849707,instructions
1699054923.9042184,411530,branch-misses
1699054924.0080783,14504311,branches
1699054924.0080783,142104110,instructions
1699054924.0080783,554713,branch-misses
1699054924.1120644,11401323,branches
